English,Marathi
the,द
be,बीई
and,आणि
of,च्या
a,अ
in,मध्ये
to,टू
have,आहे
to,टू
it,ते
I,मी
that,ते
for,च्या साठी
you,आपण
he,तो
with,सह
on,चालू
do,करा
s,एस
say,म्हणा
they,ते
this,हे
but,परंतु
at,#VALUE!
we,आम्ही
his,त्याचा
from,पासून
that,ते
not,नाही
n't,नाही
by,द्वारा
or,#VALUE!
she,ती
as,म्हणून
what,काय
go,जा
their,त्यांचे
will,विल
who,#VALUE!
can,करू शकता
get,मिळवा
if,तर
all,सर्व
would,असे
her,ती
make,बनवा
about,बद्दल
my,माझे
know,माहित आहे
as,म्हणून
there,तेथे
one,एक
up,वर
time,वेळ
year,वर्ष
so,तर
think,विचार करा
see,पहा
which,#VALUE!
when,कधी
some,काही
them,त्यांना
people,लोक
take,घ्या
me,मी
out,बाहेर
into,मध्ये
just,फक्त
him,त्याला
come,या
your,तुझे
now,आता
could,करू शकले
than,पेक्षा पेक्षा
like,आवडले
other,इतर
then,मग
how,कसे
its,त्याचे
two,दोन
our,आमची
more,अधिक
these,या
want,पाहिजे
way,मार्ग
no,नाही
look,दिसत
first,#VALUE!
also,तसेच
new,नवीन
because,कारण
day,दिवस
more,अधिक
use,वापर
man,माणूस
here,येथे
find,शोधणे
give,द्या
thing,गोष्ट
well,बरं
many,अनेक
only,फक्त
those,ते
tell,सांगा
very,खूप
one,एक
even,सम
her,ती
back,मागे
any,कोणतीही
good,चांगले
us,आम्हाला
through,माध्यमातून
woman,स्त्री
life,जीवन
child,मूल
there,तेथे
down,खाली
work,काम
after,#VALUE!
call,कॉल
may,मे
world,जग
over,ओव्हर
should,पाहिजे
still,अजूनही
try,प्रयत्न
in,मध्ये
school,शाळा
as,म्हणून
last,शेवटचे
ask,विचारा
too,#VALUE!
need,#VALUE!
three,तीन
feel,वाटते
when,कधी
become,व्हा
state,राज्य
never,कधीही नाही
between,यांच्यातील
high,उच्च
something,काहीतरी
really,खरोखर
most,सर्वाधिक
another,दुसरा
much,खूप
own,स्वत: चे
family,कुटुंब
out,बाहेर
house,घर
leave,सोडा
put,घाला
old,जुन्या
on,चालू
while,असताना
mean,म्हणजे
let,चला
why,का
president,अध्यक्ष
keep,ठेवा
same,त्याच
great,छान
begin,सुरू
big,मोठे
seem,दिसते
group,गट
country,देश
talk,चर्चा
problem,समस्या
where,कुठे
turn,वळण
student,विद्यार्थी
every,प्रत्येक
hand,हात
help,मदत
against,विरुद्ध
start,प्रारंभ करा
American,अमेरिकन
part,#VALUE!
show,दर्शवा
about,बद्दल
over,ओव्हर
might,कदाचित
such,अशी
place,ठिकाण
again,पुन्हा
city,शहर
case,केस
most,सर्वाधिक
few,काही
system,प्रणाली
week,आठवडा
where,कुठे
company,कंपनी
each,प्रत्येक
percent,टक्केवारी
hear,ऐका
so,तर
during,दरम्यान
question,प्रश्न
right,बरोबर
program,कार्यक्रम
work,काम
run,धाव
number,क्रमांक
small,लहान
government,शासन
play,#VALUE!
off,बंद
move,हलवा
like,आवडले
always,नेहमी
night,रात्री
believe,विश्वास ठेवा
today,आज
hold,धरून ठेवा
point,पॉईंट
live,राहतात
happen,घडणे
bring,आणा
next,पुढे
without,शिवाय
before,आधी
large,मोठा
must,#VALUE!
all,सर्व
war,युद्ध
home,मुख्यपृष्ठ
under,खाली
room,खोली
